279449,1,10+
279450,2,10+
279451,0,7
279453,2,10+
279456,2,10+
279458,1,10+
279459,1,6
279460,2,9
279462,1,10+
279463,2,10+
279466,1,10+
279467,0,9
279468,2,10+
279469,2,8
279470,0,8
279472,2,10+
279475,1,10+
279478,0,10+
279480,1,10+
279481,2,6
279482,1,10+
279485,2,10+
279486,2,8
279487,1,7
279488,2,6
279489,2,7
279490,2,8
279492,0,10+
279493,2,10+
279494,0,10+
279495,0,10+
279496,0,6
279501,0,9
279503,0,6
279507,0,10+
279512,0,10+
279513,2,10+
279516,2,10+
279518,2,9
279520,0,9
279524,0,8
279527,1,10+
279532,2,10+
279534,2,10+
279536,0,8
279538,0,10+
279539,1,10+
279543,0,10+
279544,2,10+
279545,0,10+
279546,1,10+
279548,0,10+
279549,0,10+
279550,0,6
279551,0,10+
279553,0,10+
279556,2,10+
279558,1,10+
279559,0,10+
279562,2,6
279563,0,10+
279566,1,10+
279568,0,10+
279574,1,7
279575,2,10+
279576,0,10+
279577,0,10+
279579,0,8
279580,0,10+
279582,1,10+
279584,0,9
279588,1,10+
279591,0,10+
279592,1,9
279593,1,6
279596,0,10+
279600,1,10+
279601,1,10+
279602,1,10+
279603,0,10+
279607,1,10+
279608,0,6
279610,1,10+
279611,2,10+
279612,2,10+
279613,2,6
279614,1,10+
279616,0,10+
279617,0,10+
279619,2,10+
279620,0,10+
279622,2,10+
279630,1,8
279632,2,10+
279633,1,10+
279637,1,10+
279638,1,10+
279642,1,10+
279643,0,10+
279648,2,8
279649,1,10+
279650,0,10+
279651,0,9
279652,1,10+
279653,1,10+
279654,1,10+
279655,1,10+
279656,1,10+
279663,2,10+
279664,2,10+
279665,1,10+
279668,2,6
279670,1,10+
279672,1,10+
279673,0,10+
279674,1,10+
279677,1,10+
279678,1,10+
279682,0,10+
279683,1,10+
279684,1,10+
279685,1,10+
279686,0,10+
279687,1,10+
279689,1,6
279692,1,10+
279693,1,7
279694,0,8
279696,1,10+
279697,2,8
279699,2,10+
279705,1,10+
279706,2,6
279707,2,7
279708,0,10+
279709,0,7
279712,2,7
279713,0,7
279714,1,9
279715,2,10+
279717,1,7
279718,0,8
279719,0,10+
279720,1,10+
279721,2,7
279723,1,10+
279725,1,9
279726,0,10+
279728,2,10+
279731,0,7
279735,2,7
279736,0,10+
279737,2,10+
279739,1,10+
279740,1,10+
279741,1,9
279742,1,10+
279744,0,10+
279748,1,8
279749,2,6
279752,0,10+
279753,0,8
279755,0,10+
279756,1,10+
279759,0,10+
279761,2,10+
279762,2,10+
279763,0,10+
279764,0,6
279767,2,8
279768,2,7
279770,1,8
279773,1,10+
279776,2,10+
279777,0,9
279779,2,6
279780,1,10+
279783,2,6
279784,2,9
279785,0,10+
279786,2,10+
279788,0,7
279789,2,9
279792,1,10+
279797,0,10+
279803,2,6
279804,2,10+
279807,0,7
279809,2,7
279810,2,10+
279811,2,7
279815,1,10+
279816,1,10+
279818,1,10+
279819,1,10+
279821,2,10+
279824,2,8
279828,1,10+
279830,0,10+
279836,0,10+
279838,2,7
279840,0,10+
279841,2,10+
279844,1,10+
279847,2,8
279848,0,10+
279850,2,9
279854,0,10+
279855,0,10+
279856,0,8
279866,0,8
