120039,0,10+
120041,1,10+
120042,1,7
120043,1,10+
120044,0,10+
120049,1,8
120050,0,10+
120054,2,10+
120056,0,9
120058,2,8
120059,1,10+
120060,1,9
120062,2,9
120064,0,10+
120065,1,10+
120066,1,10+
120067,0,9
120068,1,9
120070,1,10+
120072,1,10+
120074,2,10+
120077,2,10+
120079,0,10+
120081,2,6
120084,2,10+
120086,1,10+
120087,2,9
120088,0,9
120089,0,10+
120095,1,8
120096,1,10+
120097,0,10+
120098,0,7
120099,2,10+
120100,2,10+
120101,2,8
120102,0,8
120104,1,10+
120105,0,10+
120108,2,10+
120109,2,10+
120110,2,10+
120111,1,10+
120112,1,10+
120114,0,7
120115,2,9
120116,1,10+
120117,2,6
120118,0,10+
120121,2,10+
120122,0,8
120123,0,9
120126,1,8
120128,1,9
120130,0,10+
120131,1,8
120133,1,8
120135,0,6
120137,2,8
120138,2,10+
120139,1,10+
120140,2,10+
120141,1,10+
120142,1,7
120144,2,7
120149,0,10+
120150,1,10+
120153,1,10+
120154,1,10+
120157,0,9
120159,1,10+
120160,0,10+
120164,0,10+
120165,1,10+
120166,0,6
120167,2,9
120168,0,10+
120171,0,10+
120172,1,10+
120174,1,10+
120175,1,10+
120176,0,8
120177,0,10+
120178,0,6
120179,1,10+
120180,1,10+
120181,1,6
120185,1,8
120187,0,6
120189,1,10+
120191,0,10+
120192,1,10+
120193,2,7
120194,2,10+
120195,1,10+
120199,2,6
120203,2,10+
120204,2,8
120206,0,6
120209,0,10+
120210,1,6
120211,0,10+
120212,1,7
120214,0,10+
120215,0,10+
120216,1,6
120218,0,10+
120219,0,9
120220,0,10+
120221,2,10+
120222,1,10+
120225,2,10+
120226,0,10+
120227,0,10+
120228,1,10+
120232,1,7
120234,2,10+
120239,2,9
120243,2,10+
120244,1,6
120247,0,10+
120248,1,10+
120252,2,10+
120253,0,7
120255,1,10+
120257,1,10+
120258,1,10+
120259,1,10+
120261,2,10+
120262,2,10+
120263,2,6
120266,2,7
120268,0,8
120271,2,10+
120272,1,10+
120275,0,10+
120277,1,10+
120278,2,7
120279,1,9
120281,0,10+
120282,0,10+
120283,2,10+
120285,1,10+
120286,1,10+
120287,1,8
120288,2,10+
120291,0,10+
120293,0,8
120294,0,6
120298,2,10+
120299,0,10+
120301,2,6
120302,0,6
120303,1,7
120305,1,8
120306,2,6
120311,1,10+
120315,1,9
120316,0,10+
120318,1,10+
120320,2,8
